generated_code,is_quality_issue,quality_info,MultipleVariableDeclarations,AvoidReassigningParameters,ForLoopCanBeForeach
"class Solution {     public int[] twoSum(int[] nums, int target) {         Map<Integer, Integer> map = new HashMap<>();         for (int i = 0; i < nums.length; i++) {             int complement = target - nums[i];             if (map.containsKey(complement)) {                 return new int[] { map.get(complement), i };             }             map.put(nums[i], i);         }         throw new IllegalArgumentException(""No two sum solution"");     } }",0,,0,0,0
class Solution {     public boolean isPalindrome(int x) {         // Checking for negative numbers and numbers with a last digit of zero.         if (x < 0 || (x % 10 == 0 && x != 0)) {             return false;         }          int reversed = 0;         // Reversing the second half of the number and comparing it with the first half.         while (x > reversed) {             reversed = reversed * 10 + x % 10;             x /= 10;         }          return x == reversed || x == reversed / 10;     } },1,"009-palindrome-number/Solution.java:12:	AvoidReassigningParameters:	Avoid reassigning parameters such as 'x'
",0,1,0
"class Solution {     public int romanToInt(String s) {         int result = 0;         Map<Character, Integer> map = new HashMap<>();         map.put('I', 1);         map.put('V', 5);         map.put('X', 10);         map.put('L', 50);         map.put('C', 100);         map.put('D', 500);         map.put('M', 1000);         for (int i = 0; i < s.length(); i++) {             if (i > 0 && map.get(s.charAt(i)) > map.get(s.charAt(i-1))) {                 result += map.get(s.charAt(i)) - 2 * map.get(s.charAt(i-1));             } else {                 result += map.get(s.charAt(i));             }         }         return result;     } }",0,,0,0,0
"class Solution {     public String longestCommonPrefix(String[] strs) {         if (strs == null || strs.length == 0) {             return """";         }          // We start with the first string and look for the longest common prefix         String prefix = strs[0];         for (int i = 1; i < strs.length; i++) {             String current = strs[i];             // If the prefix is not found in the string, we keep removing the last character and retry             while (current.indexOf(prefix) != 0) {                 prefix = prefix.substring(0, prefix.length() - 1);             }         }         return prefix;     } }",0,,0,0,0
class Solution {     public boolean isValid(String s) {         Stack<Character> stack = new Stack<Character>();         for (char c : s.toCharArray()) {             if (c == '(' || c == '[' || c == '{')                 stack.push(c);             else if (c == ')' && !stack.isEmpty() && stack.peek() == '(')                 stack.pop();             else if (c == ']' && !stack.isEmpty() && stack.peek() == '[')                 stack.pop();             else if (c == '}' && !stack.isEmpty() && stack.peek() == '{')                 stack.pop();             else                 return false;         }         return stack.isEmpty();     } },0,,0,0,0
"/**  * Definition for singly-linked list.  * public class ListNode {  *     int val;  *     ListNode next;  *     ListNode() {}  *     ListNode(int val) { this.val = val; }  *     ListNode(int val, ListNode next) { this.val = val; this.next = next; }  * }  */ class Solution {     public ListNode mergeTwoLists(ListNode list1, ListNode list2) {         ListNode dummy = new ListNode(-1);         ListNode prev = dummy;                  while(list1 != null && list2 != null) {             if(list1.val <= list2.val) {                 prev.next = list1;                 list1 = list1.next;             } else {                 prev.next = list2;                 list2 = list2.next;             }             prev = prev.next;         }                  if(list1 != null) {             prev.next = list1;         }                  if(list2 != null) {             prev.next = list2;         }                  return dummy.next;     } }",1,"021-merge-two-sorted-lists/ListNode.java:19:	AvoidReassigningParameters:	Avoid reassigning parameters such as 'list1'
021-merge-two-sorted-lists/ListNode.java:22:	AvoidReassigningParameters:	Avoid reassigning parameters such as 'list2'
",0,1,0
class Solution {     public int removeDuplicates(int[] nums) {         if (nums.length == 0) {             return 0;         }         int i = 0;         for (int j = 1; j < nums.length; j++) {             if (nums[j] != nums[i]) {                 i++;                 nums[i] = nums[j];             }         }         return i + 1;     } },0,,0,0,0
"class Solution {     public int removeElement(int[] nums, int val) {         int k = 0; // current index of the new array         for (int i = 0; i < nums.length; i++) {             if (nums[i] != val) {                 nums[k++] = nums[i];             }         }         return k;     } }",1,"027-remove-element/Solution.java:4:	ForLoopCanBeForeach:	This for loop can be replaced by a foreach loop
",0,0,1
"class Solution {     public int strStr(String haystack, String needle) {         if (needle == null || needle.length() == 0) {             return 0;         }          if (haystack == null || haystack.length() == 0) {             return -1;         }          int n = haystack.length();         int m = needle.length();          for (int i = 0; i <= n - m; i++) {             int j = 0;              while (j < m && haystack.charAt(i + j) == needle.charAt(j)) {                 j++;             }              if (j == m) {                 return i;             }         }          return -1;     } }",0,,0,0,0
"class Solution {     public int searchInsert(int[] nums, int target) {         int start = 0, end = nums.length - 1;         while (start <= end) {             int mid = start + (end - start) / 2;             if (nums[mid] == target) {                 return mid;             }             if (nums[mid] < target) {                 start = mid + 1;             } else {                 end = mid - 1;             }         }         return start;     } }",1,"035-search-insert-position/Solution.java:3:9: Each variable declaration must be in its own statement. [MultipleVariableDeclarations]
",1,0,0
